Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalda,01/08/2015,30,Desi,NR,NR,580,
,03/08/2015,45,Desi,NR,NR,550,
,04/08/2015,50,Desi,NR,NR,525,
,05/08/2015,30,Desi,NR,NR,545,
,06/08/2015,60,Desi,NR,NR,500,
,07/08/2015,45,Desi,NR,NR,520,
,08/08/2015,28,Desi,NR,NR,545,
,10/08/2015,55,Desi,NR,NR,500,
,11/08/2015,45,Desi,NR,NR,450,
,12/08/2015,54,Desi,NR,NR,500,
,13/08/2015,50,Desi,NR,NR,525,
,17/08/2015,60,Desi,NR,NR,500,
,18/08/2015,40,Desi,NR,NR,520,
,19/08/2015,55,Desi,NR,NR,500,
,20/08/2015,60,Desi,NR,NR,500,
,21/08/2015,40,Desi,NR,NR,525,
,22/08/2015,48,Desi,NR,NR,500,
,24/08/2015,60,Desi,NR,NR,480,
,25/08/2015,40,Desi,NR,NR,500,
,26/08/2015,30,Desi,NR,NR,500,
,27/08/2015,50,Desi,NR,NR,480,
,28/08/2015,35,Desi,NR,NR,490,
,29/08/2015,30,Desi,NR,NR,500,
,31/08/2015,50,Desi,NR,NR,480,
Achnera,31/08/2015,520,Desi,500,600,550,
Agra,03/08/2015,2180,Desi,NR,NR,620,
,04/08/2015,2100,Desi,550,680,615,
,05/08/2015,2000,Desi,NR,NR,625,
,06/08/2015,2050,Desi,NR,NR,620,
,07/08/2015,1900,Desi,NR,NR,635,
,08/08/2015,2050,Desi,NR,NR,630,
,10/08/2015,2150,Desi,NR,NR,615,
,11/08/2015,2200,Desi,NR,NR,590,
,12/08/2015,2260,Desi,NR,NR,550,
,13/08/2015,23000,Desi,NR,NR,510,
,14/08/2015,1900,Desi,NR,NR,525,
,18/08/2015,1980,Desi,NR,NR,530,
,19/08/2015,2020,Desi,NR,NR,525,
,20/08/2015,1960,Desi,NR,NR,540,
,21/08/2015,19200,Desi,NR,NR,550,
,22/08/2015,1880,Desi,NR,NR,560,
,25/08/2015,1960,Desi,450,620,540,
,28/08/2015,1920,Desi,NR,NR,540,
,31/08/2015,1850,Desi,465,650,560,
Ahirora,24/08/2015,20,Other,NR,NR,750,
Ajuha,03/08/2015,19,Desi,NR,NR,850,
,06/08/2015,138,Desi,NR,NR,835,
,10/08/2015,118,Desi,NR,NR,855,
,13/08/2015,157,Desi,NR,NR,800,
,17/08/2015,162.5,Desi,NR,NR,770,
,20/08/2015,136,Desi,NR,NR,780,
,24/08/2015,148,Desi,NR,NR,765,
,27/08/2015,152,Desi,NR,NR,755,
,31/08/2015,127,Desi,NR,NR,750,
Akbarpur,05/08/2015,447,Potato,620,720,670,
,06/08/2015,47,Potato,630,700,670,
,08/08/2015,45,Potato,630,710,670,
,10/08/2015,49,Potato,600,700,650,
,11/08/2015,22,Potato,600,700,650,
,12/08/2015,46,Potato,550,650,600,
,20/08/2015,59, ,NR,NR,NR,
,21/08/2015,68,Potato,550,630,590,
,22/08/2015,65,Potato,550,630,590,
,28/08/2015,48,Potato,520,620,570,
Aligarh,01/08/2015,220,Desi,540,640,580,
,03/08/2015,250,Desi,530,630,570,
,04/08/2015,200,Desi,520,600,560,
,05/08/2015,170,Desi,520,600,550,
,07/08/2015,200,Desi,520,600,560,
,08/08/2015,160, ,NR,NR,NR,
,10/08/2015,180,Desi,540,630,580,
,11/08/2015,200, ,NR,NR,NR,
,12/08/2015,250,Desi,520,600,550,
,13/08/2015,210,Desi,520,600,560,
,15/08/2015,170,Desi,530,600,570,
,17/08/2015,190,Desi,500,600,560,
,18/08/2015,210,Desi,500,600,550,
,19/08/2015,200,Desi,500,600,540,
,20/08/2015,300,Desi,500,550,530,
,21/08/2015,250,Desi,500,550,520,
,22/08/2015,190,Desi,460,550,500,
,24/08/2015,240,Desi,500,550,520,
,25/08/2015,250,Desi,500,560,530,
,26/08/2015,240,Desi,470,550,500,
,27/08/2015,260,Desi,450,500,480,
,28/08/2015,250,Desi,440,500,470,
,29/08/2015,200,Desi,450,500,480,
Allahabad,01/08/2015,120,Local,NR,NR,950,
,03/08/2015,105,Local,NR,NR,960,
,04/08/2015,130,Local,NR,NR,960,
,05/08/2015,140,Local,NR,NR,975,
,06/08/2015,130,Local,NR,NR,975,
,07/08/2015,150,Local,NR,NR,965,
,08/08/2015,120,Local,NR,NR,965,
,10/08/2015,160,Local,NR,NR,950,
,11/08/2015,170,Local,NR,NR,950,
,12/08/2015,140,Local,NR,NR,950,
,13/08/2015,130,Local,NR,NR,960,
,14/08/2015,150,Local,NR,NR,960,
,17/08/2015,80,Local,NR,NR,965,
,18/08/2015,90,Local,NR,NR,926,
,19/08/2015,110,Local,NR,NR,970,
,20/08/2015,130,Local,NR,NR,970,
,21/08/2015,120,Local,NR,NR,975,
,22/08/2015,110,Local,NR,NR,975,
,24/08/2015,100,Local,NR,NR,975,
,25/08/2015,120,Local,NR,NR,980,
,26/08/2015,130,Local,NR,NR,980,
,27/08/2015,140,Local,NR,NR,985,
,28/08/2015,150,Local,NR,NR,985,
,31/08/2015,135,Local,NR,NR,990,
Amroha,31/08/2015,40,F.A.Q.,NR,NR,800,
Anandnagar,05/08/2015,35,Potato,750,950,840,
,07/08/2015,30,Potato,700,900,850,
,08/08/2015,40,Potato,700,900,850,
,09/08/2015,30,Potato,725,900,850,
,12/08/2015,35,Potato,700,900,800,
,13/08/2015,30,Potato,700,900,800,
,14/08/2015,25,Potato,700,900,850,
,15/08/2015,25,Potato,700,900,800,
,17/08/2015,20,Potato,750,950,850,
,18/08/2015,25,Potato,750,900,850,
,19/08/2015,35,Potato,700,900,800,
,21/08/2015,40,Potato,725,925,840,
,22/08/2015,35,Potato,725,925,850,
,23/08/2015,35,Potato,725,925,840,
,24/08/2015,30,Potato,750,925,840,
,28/08/2015,35,Potato,750,925,850,
,30/08/2015,20,Potato,740,950,840,
,31/08/2015,30,Potato,750,940,850,
Anoop Shahar,28/08/2015,176,F.A.Q.,500,580,540,
Auraiya,01/08/2015,30,F.A.Q.,510,550,535,
,03/08/2015,35,F.A.Q.,520,555,540,
,04/08/2015,38,F.A.Q.,510,550,535,
,05/08/2015,40,F.A.Q.,500,555,530,
,06/08/2015,35,F.A.Q.,520,550,535,
,07/08/2015,38,F.A.Q.,520,560,540,
,08/08/2015,41.5,F.A.Q.,510,555,535,
,10/08/2015,35,F.A.Q.,510,555,535,
,11/08/2015,32,F.A.Q.,510,550,530,
,12/08/2015,45,F.A.Q.,500,545,525,
,13/08/2015,40,F.A.Q.,510,550,530,
,14/08/2015,50,F.A.Q.,510,555,535,
,17/08/2015,35,F.A.Q.,510,560,540,
,18/08/2015,30,F.A.Q.,520,575,550,
,19/08/2015,35,F.A.Q.,525,580,560,
,20/08/2015,45,F.A.Q.,550,600,565,
,21/08/2015,40,F.A.Q.,550,600,580,
,22/08/2015,45,F.A.Q.,550,595,570,
,24/08/2015,50,F.A.Q.,550,595,565,
,25/08/2015,65,F.A.Q.,550,585,565,
,26/08/2015,60,F.A.Q.,550,595,570,
,27/08/2015,55,F.A.Q.,545,585,570,
,28/08/2015,32.5,F.A.Q.,550,600,575,
,29/08/2015,60,F.A.Q.,545,575,565,
,31/08/2015,30,F.A.Q.,550,600,580,
